Date,EEM,GLD,IEF,QQQ,SPY,TLT,VNQ
2012-03-07,31.561803817749023,163.6300048828125,78.53607177734375,56.71505355834961,105.98017883300781,80.39647674560547,35.297420501708984
2012-03-08,32.22378921508789,165.27999877929688,78.3043212890625,57.32593536376953,107.03459930419922,79.59191131591797,35.11346435546875
2012-03-09,32.209083557128906,166.3800048828125,78.24454498291016,57.56498336791992,107.44857788085938,79.75008392333984,35.285911560058594
2012-03-12,31.85601806640625,165.07000732421875,78.22212982177734,57.59156036376953,107.45639038085938,79.73634338378906,35.54462432861328
2012-03-13,32.72396469116211,162.3000030517578,77.66148376464844,58.662803649902344,109.39335632324219,78.33349609375,36.263214111328125
2012-03-14,32.209083557128906,159.57000732421875,76.77188873291016,58.8664436340332,109.27620697021484,76.3598403930664,36.16548156738281
2012-03-15,32.46651077270508,161.0800018310547,76.74952697753906,59.03463363647461,109.90890502929688,76.47675323486328,36.113746643066406
2012-03-16,32.429752349853516,161.3000030517578,76.72708129882812,58.99296569824219,110.06104278564453,76.62800598144531,36.320701599121094
2012-03-19,32.3046989440918,161.58999633789062,76.2561264038086,59.4097785949707,110.49251556396484,75.71338653564453,36.57363510131836
2012-03-20,31.74568748474121,160.1300048828125,76.29348754882812,59.51620864868164,110.17090606689453,76.01595306396484,36.52191925048828
2012-03-21,31.804542541503906,160.2100067138672,76.68218231201172,59.52509689331055,109.99044036865234,76.87566375732422,36.47016143798828
2012-03-22,31.319080352783203,159.57000732421875,76.7793960571289,59.40092849731445,109.1981430053711,77.1231460571289,35.97002029418945
2012-03-23,31.55445671081543,161.52999877929688,77.0634994506836,59.36545944213867,109.55116271972656,77.85211944580078,36.19422149658203
2012-03-26,32.10610580444336,164.39999389648438,76.97377014160156,60.4030647277832,111.0887222290039,77.45326232910156,36.61841583251953
2012-03-27,31.93693733215332,163.24000549316406,77.39984893798828,60.49176025390625,110.74354553222656,78.01028442382812,36.624210357666016
2012-03-28,31.399991989135742,161.50999450683594,77.26527404785156,60.2523078918457,110.19439697265625,77.90018463134766,36.56626510620117
2012-03-29,31.363216400146484,161.27999877929688,77.58674621582031,60.02171325683594,110.00613403320312,78.4847640991211,36.583648681640625
2012-03-30,31.591230392456055,162.1199951171875,77.20549774169922,59.90641403198242,110.4611587524414,77.15751647949219,36.884979248046875
2012-04-02,32.02519989013672,162.94000244140625,77.39044952392578,60.52722930908203,111.26913452148438,77.58499908447266,37.14575958251953
2012-04-03,31.8413143157959,159.88999938964844,76.82131958007812,60.509464263916016,110.81413269042969,76.24058532714844,37.00086975097656
2012-04-04,31.26759910583496,157.2100067138672,77.21070861816406,59.684715270996094,109.71593475341797,77.28853607177734,36.59523391723633
2012-04-05,31.436769485473633,158.30999755859375,77.55516052246094,60.05718231201172,109.66096496582031,77.84696197509766,36.45615768432617
2012-04-09,30.9733829498291,159.3699951171875,78.34888458251953,59.60489273071289,108.42938232421875,79.66717529296875,36.06789779663086
2012-04-10,30.370243072509766,161.10000610351562,78.71581268310547,58.647098541259766,106.60940551757812,80.57038879394531,35.29136276245117
2012-04-11,30.701242446899414,161.07000732421875,78.40882873535156,58.93088912963867,107.4723129272461,79.6051254272461,35.74336624145508
2012-04-12,31.488256454467773,162.6999969482422,78.25157165527344,59.60489273071289,108.87651824951172,79.27415466308594,36.23593521118164
2012-04-13,31.010150909423828,160.85000610351562,78.72335052490234,58.700321197509766,107.58211517333984,80.55655670166016,36.08527755737305
2012-04-16,30.855693817138672,160.4600067138672,78.70084381103516,58.044044494628906,107.51148223876953,80.43936157226562,36.57786178588867
2012-04-17,31.20875358581543,160.25,78.6185302734375,59.22353744506836,109.10401153564453,80.39115142822266,36.89077377319336
2012-04-18,31.061649322509766,159.30999755859375,78.77571868896484,59.07279968261719,108.73526763916016,80.62554931640625,36.64158630371094
2012-04-19,30.921899795532227,159.42999267578125,78.86558532714844,58.40766906738281,108.037109375,80.7013931274414,36.64158630371094
2012-04-20,31.135210037231445,159.5399932861328,78.8731460571289,58.24803161621094,108.21752166748047,80.71516418457031,37.08780288696289
2012-04-23,30.53941535949707,159.07000732421875,79.03033447265625,57.715904235839844,107.30753326416016,81.30120086669922,36.70532989501953
2012-04-24,30.605615615844727,159.3000030517578,78.82820892333984,57.40552520751953,107.71549224853516,80.72898864746094,37.25585174560547
2012-04-25,30.885120391845703,159.6199951171875,78.73077392578125,58.93088912963867,109.19025421142578,80.31527709960938,37.6846809387207
2012-04-26,31.076356887817383,161.02999877929688,78.9928970336914,59.276771545410156,109.95122528076172,80.79791259765625,37.77740478515625
2012-04-27,31.120485305786133,161.3800048828125,79.07526397705078,59.63147735595703,110.13163757324219,80.86678314208984,38.03818130493164
2012-04-30,31.054290771484375,161.8800048828125,79.14264678955078,59.205810546875,109.72372436523438,80.8875732421875,37.93967056274414
2012-05-01,31.26024627685547,161.32000732421875,78.9986572265625,59.303382873535156,110.40621948242188,80.46802520751953,38.351104736328125
2012-05-02,31.201398849487305,160.58999633789062,79.1487045288086,59.471858978271484,110.07676696777344,81.03474426269531,38.29315948486328
2012-05-03,30.96603012084961,158.97000122070312,79.14114379882812,58.842220306396484,109.23733520507812,81.01397705078125,38.15987777709961
2012-05-04,30.42173957824707,159.47000122070312,79.45622253417969,57.3788948059082,107.4723129272461,81.64984130859375,37.82376480102539
2012-05-07,30.532054901123047,159.0800018310547,79.43363952636719,57.432132720947266,107.55075073242188,81.66366577148438,38.09033966064453
2012-05-08,30.04660415649414,156.0,79.61366271972656,57.21928405761719,107.11927032470703,82.09909057617188,38.020790100097656
2012-05-09,29.65677261352539,154.47000122070312,79.68119812011719,57.041908264160156,106.4838638305664,82.15436553955078,37.899105072021484
2012-05-10,29.781816482543945,154.77000427246094,79.56864166259766,56.92662811279297,106.70352935791016,81.91246795654297,37.92807388305664
2012-05-11,29.399330139160156,153.55999755859375,79.83116912841797,56.91775131225586,106.38189697265625,82.58972930908203,38.00920104980469
2012-05-14,28.73000717163086,151.3300018310547,80.1837158203125,56.38563919067383,105.20516204833984,83.74398040771484,37.528228759765625
2012-05-15,28.479921340942383,149.74000549316406,80.20621490478516,56.19941711425781,104.60112762451172,84.08262634277344,37.33120346069336
